run_accession	study_accession	sample_accession	experiment_accession	scientific_name	experiment_title	fastq_ftp	sample_title
ERR13346992	PRJEB77209	SAMEA115804935	ERX12717892	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/092/ERR13346992/ERR13346992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/092/ERR13346992/ERR13346992_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 03
ERR13346994	PRJEB77209	SAMEA115804937	ERX12717894	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/094/ERR13346994/ERR13346994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/094/ERR13346994/ERR13346994_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 05
ERR13346995	PRJEB77209	SAMEA115804938	ERX12717895	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/095/ERR13346995/ERR13346995_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/095/ERR13346995/ERR13346995_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 06
ERR13346997	PRJEB77209	SAMEA115804940	ERX12717897	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/097/ERR13346997/ERR13346997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/097/ERR13346997/ERR13346997_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 08
ERR13346998	PRJEB77209	SAMEA115804941	ERX12717898	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/098/ERR13346998/ERR13346998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/098/ERR13346998/ERR13346998_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 09
ERR13347001	PRJEB77209	SAMEA115804944	ERX12717901	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR13347001/ERR13347001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR13347001/ERR13347001_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 12
ERR13347002	PRJEB77209	SAMEA115804945	ERX12717902	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR13347002/ERR13347002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR13347002/ERR13347002_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 13
ERR13347005	PRJEB77209	SAMEA115804948	ERX12717905	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR13347005/ERR13347005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR13347005/ERR13347005_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 16
ERR13347007	PRJEB77209	SAMEA115804950	ERX12717907	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR13347007/ERR13347007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR13347007/ERR13347007_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 18
ERR13347008	PRJEB77209	SAMEA115804951	ERX12717908	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR13347008/ERR13347008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR13347008/ERR13347008_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 19
