run_accession	study_accession	sample_accession	experiment_accession	scientific_name	experiment_title	fastq_ftp	sample_title
ERR13347155	PRJEB77209	SAMEA115804915	ERX12718055	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/055/ERR13347155/ERR13347155.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 02
ERR13347157	PRJEB77209	SAMEA115804917	ERX12718057	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/057/ERR13347157/ERR13347157.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 04
ERR13347159	PRJEB77209	SAMEA115804919	ERX12718059	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/059/ERR13347159/ERR13347159.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 06
ERR13347161	PRJEB77209	SAMEA115804921	ERX12718061	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/061/ERR13347161/ERR13347161.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 08
ERR13347164	PRJEB77209	SAMEA115804924	ERX12718064	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/064/ERR13347164/ERR13347164.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 11
ERR13347169	PRJEB77209	SAMEA115804929	ERX12718069	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/069/ERR13347169/ERR13347169.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 16
ERR13347171	PRJEB77209	SAMEA115804931	ERX12718071	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/071/ERR13347171/ERR13347171.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 18
ERR13347172	PRJEB77209	SAMEA115804932	ERX12718072	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/072/ERR13347172/ERR13347172.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 19
ERR13347166	PRJEB77209	SAMEA115804926	ERX12718066	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/066/ERR13347166/ERR13347166.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 13
ERR13347167	PRJEB77209	SAMEA115804927	ERX12718067	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/067/ERR13347167/ERR13347167.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 14
ERR13347168	PRJEB77209	SAMEA115804928	ERX12718068	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/068/ERR13347168/ERR13347168.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 15
ERR13347170	PRJEB77209	SAMEA115804930	ERX12718070	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/070/ERR13347170/ERR13347170.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 17
ERR13347173	PRJEB77209	SAMEA115804933	ERX12718073	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/073/ERR13347173/ERR13347173.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 20
ERR13347156	PRJEB77209	SAMEA115804916	ERX12718056	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/056/ERR13347156/ERR13347156.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 03
ERR13347158	PRJEB77209	SAMEA115804918	ERX12718058	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/058/ERR13347158/ERR13347158.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 05
ERR13347160	PRJEB77209	SAMEA115804920	ERX12718060	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/060/ERR13347160/ERR13347160.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 07
ERR13347162	PRJEB77209	SAMEA115804922	ERX12718062	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/062/ERR13347162/ERR13347162.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 09
ERR13347163	PRJEB77209	SAMEA115804923	ERX12718063	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/063/ERR13347163/ERR13347163.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 10
ERR13347165	PRJEB77209	SAMEA115804925	ERX12718065	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/065/ERR13347165/ERR13347165.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 12
