id,platform,sequencing_run,read1,read2
ERR13347155,illumina,ERX12718055,data/fastq/ERR13346992_1.fastq.gz,data/fastq/ERR13346992_2.fastq.gz
ERR13347157,illumina,ERX12718057,data/fastq/ERR13346994_1.fastq.gz,data/fastq/ERR13346994_2.fastq.gz
ERR13347159,illumina,ERX12718059,data/fastq/ERR13346995_1.fastq.gz,data/fastq/ERR13346995_2.fastq.gz
ERR13347161,illumina,ERX12718061,data/fastq/ERR13346997_1.fastq.gz,data/fastq/ERR13346997_2.fastq.gz
ERR13347164,illumina,ERX12718064,data/fastq/ERR13346998_1.fastq.gz,data/fastq/ERR13346998_2.fastq.gz
ERR13347169,illumina,ERX12718069,data/fastq/ERR13347001_1.fastq.gz,data/fastq/ERR13347001_2.fastq.gz
ERR13347171,illumina,ERX12718071,data/fastq/ERR13347002_1.fastq.gz,data/fastq/ERR13347002_2.fastq.gz
ERR13347172,illumina,ERX12718072,data/fastq/ERR13347005_1.fastq.gz,data/fastq/ERR13347005_2.fastq.gz
ERR13347166,illumina,ERX12718066,data/fastq/ERR13347007_1.fastq.gz,data/fastq/ERR13347007_2.fastq.gz
ERR13347167,illumina,ERX12718067,data/fastq/ERR13347008_1.fastq.gz,data/fastq/ERR13347008_2.fastq.gz
ERR13347168,illumina,ERX12718068,data/fastq/ERR13346993_1.fastq.gz,data/fastq/ERR13346993_2.fastq.gz
ERR13347170,illumina,ERX12718070,data/fastq/ERR13346996_1.fastq.gz,data/fastq/ERR13346996_2.fastq.gz
ERR13347173,illumina,ERX12718073,data/fastq/ERR13347004_1.fastq.gz,data/fastq/ERR13347004_2.fastq.gz
ERR13347156,illumina,ERX12718056,data/fastq/ERR13347006_1.fastq.gz,data/fastq/ERR13347006_2.fastq.gz
ERR13347158,illumina,ERX12718058,data/fastq/ERR13346991_1.fastq.gz,data/fastq/ERR13346991_2.fastq.gz
ERR13347160,illumina,ERX12718060,data/fastq/ERR13346999_1.fastq.gz,data/fastq/ERR13346999_2.fastq.gz
ERR13347162,illumina,ERX12718062,data/fastq/ERR13347000_1.fastq.gz,data/fastq/ERR13347000_2.fastq.gz
ERR13347163,illumina,ERX12718063,data/fastq/ERR13347003_1.fastq.gz,data/fastq/ERR13347003_2.fastq.gz
ERR13347165,illumina,ERX12718065,data/fastq/ERR13347009_1.fastq.gz,data/fastq/ERR13347009_2.fastq.gz
