name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	172501	975456	1147957	0.88647
Staphylococcus argenteus	985002	S	2784	144	2928	0.00226
Staphylococcus schweitzeri	1654388	S	1676	97	1773	0.00137
Staphylococcus sp. MZ8	2836366	S	215	10074	10289	0.00795
Staphylococcus sp. MZ9	2836367	S	176	36411	36587	0.02825
Staphylococcus sp. IVB6181	2929481	S	50	0	50	0.00004
Staphylococcus sp. FSL W8-0305	2954552	S	46	1048	1094	0.00084
Staphylococcus sp. 17KM0847	2583989	S	38	0	38	0.00003
Staphylococcus sp. IVB6233	2989769	S	26	142	168	0.00013
Staphylococcus sp. MI 10-1553	1912064	S	16	0	16	0.00001
Staphylococcus sp. FSL W8-0056	2954548	S	12	1184	1196	0.00092
Staphylococcus sp. M0911	2025492	S	9	9	18	0.00001
Staphylococcus sp. 11-B-312	2799680	S	7	2	9	0.00001
Staphylococcus sp. SM9054	2807624	S	6	57600	57606	0.04448
Staphylococcus sp. SM3655	2807625	S	5	10354	10359	0.00800
Staphylococcus sp. MZ3	2836364	S	5	1442	1447	0.00112
Staphylococcus sp. NRL 16/872	2930131	S	5	6	11	0.00001
Staphylococcus sp. IVB6246	2989772	S	4	2	6	0.00000
Staphylococcus sp. IVB6214	2989766	S	3	5	8	0.00001
Staphylococcus sp. SB1-57	2813777	S	3	4	7	0.00001
Staphylococcus sp. MZ7	2836365	S	3	785	788	0.00061
Staphylococcus sp. MZ1	2836369	S	3	2927	2930	0.00226
Staphylococcus sp. NRL 22/194	3020908	S	3	4	7	0.00001
Staphylococcus sp. IVB6238	2989770	S	2	2	4	0.00000
Staphylococcus sp. T93	2799681	S	2	333	335	0.00026
Staphylococcus sp. AntiMn-1	1715860	S	2	8	10	0.00001
Staphylococcus sp. IVB6240	2989771	S	1	1	2	0.00000
Staphylococcus sp. 693-2	373067	S	1	0	1	0.00000
Staphylococcus simiae	308354	S	884	4	888	0.00069
Staphylococcus epidermidis	1282	S	589	34	623	0.00048
Staphylococcus haemolyticus	1283	S	541	22	563	0.00043
Staphylococcus capitis	29388	S	426	34	460	0.00036
Staphylococcus hominis	1290	S	295	12	307	0.00024
Staphylococcus arlettae	29378	S	289	7	296	0.00023
Staphylococcus warneri	1292	S	254	38	292	0.00023
Staphylococcus saccharolyticus	33028	S	252	2	254	0.00020
Staphylococcus pasteuri	45972	S	234	5	239	0.00018
Staphylococcus pseudintermedius	283734	S	181	18	199	0.00015
Staphylococcus delphini	53344	S	42	2	44	0.00003
Staphylococcus equorum	246432	S	233	165	398	0.00031
Staphylococcus lugdunensis	28035	S	220	3	223	0.00017
